time,u_method_1,u_method_2,u_method_3,y_method_1,y_method_2,y_method_3
168,0.24999999328933092,0.250000000524299,0.249999999996354,0.24999999320336255,0.25000000043833265,0.2499999999103869
169,0.24999999328696543,0.2500000005219336,0.24999999999398856,0.24999999325003142,0.2500000004850015,0.24999999995705577
170,0.24999999328560255,0.2500000005205706,0.24999999999262545,0.2499999932893595,0.2500000005243296,0.24999999999638386
171,0.24999999328511757,0.25000000052008564,0.24999999999214065,0.24999999331999162,0.2500000005549617,0.25000000002701595
172,0.24999999328534755,0.2500000005203156,0.24999999999237063,0.24999999334155326,0.25000000057652333,0.2500000000485776
173,0.24999999328611106,0.2500000005210791,0.24999999999313421,0.24999999335445547,0.25000000058942556,0.2500000000614798
174,0.24999999328722747,0.2500000005221955,0.24999999999425046,0.2499999933596834,0.2500000005946535,0.25000000006670775
175,0.24999999328852948,0.25000000052349763,0.24999999999555264,0.24999999335858897,0.2500000005935591,0.25000000006561335
176,0.24999999328987474,0.25000000052484295,0.24999999999689781,0.24999999335270262,0.25000000058767274,0.250000000059727
177,0.24999999329114947,0.25000000052611754,0.24999999999817255,0.24999999334357434,0.2500000005785445,0.25000000005059875
178,0.24999999329227154,0.2500000005272398,0.24999999999929465,0.2499999933326495,0.2500000005676197,0.25000000003967393
179,0.24999999329318956,0.2500000005281577,0.25000000000021266,0.2499999933211813,0.25000000055615146,0.25000000002820577
180,0.24999999329387984,0.2500000005288477,0.25000000000090267,0.249999993310178,0.25000000054514815,0.25000000001720246
181,0.2499999932943406,0.25000000052930865,0.2500000000013637,0.2499999933003811,0.25000000053535126,0.2500000000074056
182,0.2499999932945897,0.2500000005295578,0.2500000000016127,0.2499999932922693,0.2500000005272394,0.24999999999929376
183,0.24999999329465625,0.2500000005296243,0.25000000000167927,0.24999999328608155,0.2500000005210517,0.24999999999310601
184,0.249999993294577,0.25000000052954513,0.2500000000016001,0.24999999328185368,0.2500000005168238,0.24999999998887815
185,0.24999999329439188,0.25000000052936,0.2500000000014148,0.24999999327946204,0.25000000051443216,0.24999999998648648
186,0.24999999329413905,0.2500000005291072,0.2500000000011621,0.24999999327866956,0.2500000005136397,0.249999999985694
187,0.2499999932938542,0.2500000005288222,0.2500000000008771,0.2499999932791701,0.25000000051414023,0.24999999998619454
188,0.24999999329356623,0.25000000052853416,0.2500000000005892,0.2499999932806279,0.250000000515598,0.24999999998765235
189,0.24999999329329847,0.25000000052826654,0.25000000000032147,0.24999999328271025,0.25000000051768034,0.24999999998973468
190,0.24999999329306705,0.2500000005280349,0.25000000000008993,0.2499999932851125,0.2500000005200826,0.2499999999921369
191,0.2499999932928811,0.2500000005278493,0.24999999999990427,0.24999999328757513,0.25000000052254523,0.24999999999459954
192,0.24999999329274525,0.2500000005277134,0.24999999999976838,0.24999999328989356,0.25000000052486365,0.24999999999691797
193,0.24999999329265815,0.2500000005276265,0.24999999999968137,0.2499999932919212,0.2500000005268913,0.24999999999894562
194,0.24999999329261574,0.2500000005275838,0.24999999999963882,0.24999999329356765,0.2500000005285377,0.250000000000592
195,0.2499999932926108,0.2500000005275788,0.24999999999963382,0.24999999329479264,0.25000000052976273,0.25000000000181705
196,0.24999999329263517,0.25000000052760324,0.2499999999996582,0.2499999932955978,0.2500000005305679,0.25000000000262224
197,0.2499999932926804,0.2500000005276483,0.24999999999970335,0.24999999329601685,0.250000000530987,0.2500000000030413
198,0.24999999329273814,0.25000000052770605,0.24999999999976105,0.24999999329610564,0.2500000005310758,0.2500000000031301
199,0.2499999932928008,0.250000000527769,0.24999999999982397,0.2499999932959328,0.250000000530903,0.2500000000029573
200,0.24999999329286307,0.25000000052783095,0.24999999999988606,0.2499999932955715,0.25000000053054167,0.250000000002596
201,0.24999999329291972,0.25000000052788784,0.24999999999994274,0.24999999329509268,0.2500000005300628,0.25000000000211714
202,0.2499999932929679,0.2500000005279359,0.24999999999999084,0.24999999329456016,0.2500000005295303,0.2500000000015846
203,0.24999999329300562,0.25000000052797366,0.25000000000002864,0.24999999329402733,0.25000000052899746,0.25000000000105177
204,0.24999999329303263,0.2500000005280005,0.25000000000005557,0.24999999329353537,0.2500000005285055,0.2500000000005598
205,0.24999999329304898,0.250000000528017,0.25000000000007205,0.24999999329311287,0.250000000528083,0.2500000000001373
206,0.24999999329305622,0.2500000005280242,0.25000000000007916,0.24999999329277656,0.2500000005277467,0.24999999999980096
207,0.2499999932930556,0.2500000005280236,0.25000000000007855,0.24999999329253264,0.25000000052750276,0.24999999999955705
208,0.24999999329304887,0.25000000052801696,0.250000000000072,0.2499999932923788,0.2500000005273489,0.2499999999994032
209,0.24999999329303832,0.2500000005280065,0.2500000000000614,0.24999999329230627,0.25000000052727633,0.24999999999933067
210,0.24999999329302555,0.2500000005279935,0.2500000000000485,0.24999999329230202,0.25000000052727206,0.24999999999932643
211,0.24999999329301176,0.2500000005279799,0.2500000000000348,0.24999999329235073,0.2500000005273208,0.24999999999937514
212,0.24999999329299846,0.25000000052796667,0.2500000000000216,0.24999999329243652,0.2500000005274066,0.24999999999946093
213,0.24999999329298664,0.2500000005279546,0.2500000000000097,0.24999999329254427,0.25000000052751437,0.24999999999956868
214,0.24999999329297679,0.2500000005279449,0.2499999999999998,0.24999999329266062,0.2500000005276307,0.24999999999968503
215,0.249999993292969,0.25000000052793725,0.24999999999999217,0.2499999932927746,0.25000000052774474,0.24999999999979902
216,0.24999999329296385,0.2500000005279319,0.24999999999998693,0.249999993292878,0.2500000005278481,0.2499999999999024
217,0.24999999329296088,0.2500000005279289,0.24999999999998387,0.2499999932929652,0.2500000005279353,0.24999999999998962
218,0.2499999932929597,0.2500000005279279,0.24999999999998276,0.2499999932930332,0.2500000005280033,0.2500000000000576
219,0.24999999329296033,0.25000000052792837,0.24999999999998326,0.24999999329308117,0.25000000052805127,0.2500000000001056
220,0.24999999329296185,0.25000000052793003,0.24999999999998493,0.24999999329310996,0.2500000005280801,0.2500000000001344
221,0.2499999932929642,0.2500000005279325,0.24999999999998737,0.24999999329312175,0.2500000005280919,0.25000000000014616
