time,u_method_1,u_method_2,u_method_3,y_method_1,y_method_2,y_method_3,,u_ref,y_ref
66,0.7673994579055884,0.7673568839456215,0.7613374948278742,0.9894725141480968,0.9894920187683135,0.9700164257315429,,0,1
67,0.7673994579031652,0.7673568839494616,0.761337495,0.989472514,0.9894920187622365,0.9700164257257919,,0,1
68,0.7673994578948664,0.7673568839442202,0.7613374948269456,0.9894725141392843,0.989492019,0.9700164257216327,,0,1
69,0.7673994578856183,0.7673568839356808,0.761337495,0.9894725141376158,0.9894920187552857,0.970016426,,0,1
70,0.7673994578780227,0.767356884,0.7613374948111953,0.9894725141371996,0.9894920187542213,0.970016426,,0,1
71,0.767399458,0.7673568839212721,0.7613374948053424,0.9894725141374968,0.9894920187541391,0.9700164257181113,,0,1
72,0.7673994578704335,0.7673568839175062,0.7613374948017622,0.9894725141380766,0.9894920187545618,0.9700164257185044,,0,1
73,0.7673994578696453,0.7673568839158011,0.7613374948001081,0.9894725141386611,0.9894920187551379,0.9700164257190438,,0,1
74,0.7673994578699126,0.7673568839155034,0.7613374947998104,0.9894725141391127,0.9894920187556583,0.9700164257195322,,0,1
75,0.7673994578706542,0.7673568839159708,0.7613374948002374,0.9894725141393943,0.9894920187560321,0.9700164257198833,,0,1
76,0.7673994578714657,0.7673568839167124,0.7613374948009222,0.9894725141395265,0.9894920187562478,0.9700164257200865,,0,1
77,0.7673994578720943,0.7673568839174127,0.7613374948015779,0.9894725141395545,0.989492019,0.9700164257201702,,0,1
78,0.7673994578725152,0.767356884,0.7613374948020635,0.9894725141395251,0.9894920187563409,0.9700164257201759,,0,1
79,0.7673994578727097,0.7673568839182598,0.7613374948023681,0.989472514,0.9894920187563033,0.9700164257201417,,0,1
80,0.7673994578727673,0.7673568839183982,0.7613374948025036,0.9894725141394244,0.9894920187562535,0.9700164257200955,,0,1
81,0.7673994578727372,0.7673568839184193,0.7613374948025271,0.9894725141393869,0.989492019,0.9700164257200541,,0,1
82,0.7673994578726618,0.7673568839183773,0.7613374948024856,0.9894725141393641,0.9894920187561772,0.9700164257200246,,0,1
83,0.767399458,0.7673568839183122,0.7613374948024243,0.9894725141393539,0.9894920187561591,0.9700164257200078,,0,1
84,0.7673994578725387,0.7673568839182492,0.7613374948023659,0.9894725141393521,0.9894920187561519,0.9700164257200011,,0,1
85,0.7673994578725077,0.7673568839182061,0.7613374948023239,0.989472514,0.9894920187561518,0.9700164257200009,,0,1
86,0.767399458,0.767356884,0.7613374948022995,0.9894725141393592,0.9894920187561551,0.9700164257200039,,0,1
87,0.7673994578724977,0.7673568839181686,0.7613374948022895,0.9894725141393632,0.9894920187561594,0.9700164257200078,,0,1
88,0.7673994578725005,0.7673568839181675,0.7613374948022944,0.9894725141393662,0.9894920187561632,0.9700164257200111,,0,1
89,0.7673994578724976,0.7673568839181717,0.7613374948022993,0.9894725141393681,0.9894920187561659,0.9700164257200135,,0,1
90,0.7673994578725091,0.7673568839181781,0.7613374948023026,0.9894725141393691,0.9894920187561673,0.9700164257200149,,0,1
91,0.7673994578724967,0.7673568839181837,0.7613374948023011,0.9894725141393692,0.9894920187561679,0.9700164257200157,,0,1
92,0.7673994578725276,0.767356884,0.761337495,0.989472514,0.9894920187561679,0.9700164257200159,,0,1
93,0.7673994578725198,0.7673568839181877,0.7613374948023093,0.9894725141393682,0.9894920187561677,0.9700164257200157,,0,1
94,0.7673994578725153,0.767356884,0.7613374948023166,0.989472514,0.9894920187561673,0.9700164257200152,,0,1
95,0.7673994578725136,0.7673568839181883,0.7613374948023122,0.9894725141393679,0.989492019,0.9700164257200149,,0,1
96,0.7673994578725151,0.7673568839181875,0.7613374948023095,0.9894725141393678,0.9894920187561668,0.9700164257200148,,0,1
97,0.767399458,0.767356884,0.7613374948023086,0.9894725141393677,0.9894920187561667,0.9700164257200148,,0,1
98,0.7673994578725194,0.7673568839181883,0.761337495,0.9894725141393677,0.9894920187561665,0.9700164257200148,,0,1
99,0.7673994578725076,0.7673568839181879,0.7613374948023075,0.9894725141393679,0.9894920187561665,0.9700164257200148,,0,1
